country,year,sex,age,population,suicides/100k pop,HDI for year,gdp_per_capita ($),generation
Slovakia,1994,male,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1994,female,75+,medium_population,medium_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1994,female,35-54,medium_population,medium_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1994,female,55-74,medium_population,medium_suicides,low_hdi,medium_gdp,Silent
Slovakia,1994,female,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1994,female,25-34,medium_population,medium_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1994,male,5-14,medium_population,low_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1994,female,5-14,medium_population,low_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1995,male,75+,low_population,high_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1995,male,55-74,medium_population,high_suicides,low_hdi,medium_gdp,Silent
Slovakia,1995,male,35-54,medium_population,high_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1995,male,25-34,medium_population,high_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1995,male,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1995,female,55-74,medium_population,medium_suicides,low_hdi,medium_gdp,Silent
Slovakia,1995,female,35-54,medium_population,medium_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1995,female,75+,medium_population,medium_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1995,female,25-34,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1995,female,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1995,female,5-14,medium_population,medium_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1995,male,5-14,medium_population,medium_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1996,male,75+,low_population,high_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1996,male,55-74,medium_population,high_suicides,low_hdi,medium_gdp,Silent
Slovakia,1996,male,35-54,medium_population,high_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1996,male,25-34,medium_population,high_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1996,male,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1996,female,75+,medium_population,medium_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1996,female,35-54,medium_population,medium_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1996,female,55-74,medium_population,medium_suicides,low_hdi,medium_gdp,Silent
Slovakia,1996,female,25-34,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1996,male,5-14,medium_population,medium_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1996,female,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1996,female,5-14,medium_population,low_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1997,male,75+,low_population,high_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1997,male,35-54,medium_population,high_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1997,male,55-74,medium_population,high_suicides,low_hdi,medium_gdp,Silent
Slovakia,1997,male,25-34,medium_population,high_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1997,male,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1997,female,75+,medium_population,medium_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1997,female,55-74,medium_population,medium_suicides,low_hdi,medium_gdp,Silent
Slovakia,1997,female,35-54,medium_population,medium_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1997,female,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1997,female,25-34,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1997,male,5-14,medium_population,low_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1997,female,5-14,medium_population,low_suicides,low_hdi,medium_gdp,Millenials
Slovakia,1998,male,35-54,medium_population,high_suicides,low_hdi,medium_gdp,Boomers
Slovakia,1998,male,75+,low_population,high_suicides,low_hdi,medium_gdp,G.I. Generation
Slovakia,1998,male,55-74,medium_population,high_suicides,low_hdi,medium_gdp,Silent
Slovakia,1998,male,25-34,medium_population,high_suicides,low_hdi,medium_gdp,Generation X
Slovakia,1998,male,15-24,medium_population,medium_suicides,low_hdi,medium_gdp,Generation X
