country,year,sex,age,population,suicides/100k pop,HDI for year,gdp_per_capita ($),generation
Finland,2008,female,5-14,medium_population,low_suicides,low_hdi,high_gdp,Generation Z
Finland,2008,male,5-14,medium_population,low_suicides,low_hdi,high_gdp,Generation Z
Finland,2009,male,35-54,medium_population,high_suicides,low_hdi,high_gdp,Boomers
Finland,2009,male,75+,medium_population,high_suicides,low_hdi,high_gdp,Silent
Finland,2009,male,25-34,medium_population,high_suicides,low_hdi,high_gdp,Generation X
Finland,2009,male,55-74,medium_population,high_suicides,low_hdi,high_gdp,Silent
Finland,2009,male,15-24,medium_population,high_suicides,low_hdi,high_gdp,Millenials
Finland,2009,female,35-54,medium_population,medium_suicides,low_hdi,high_gdp,Boomers
Finland,2009,female,55-74,medium_population,medium_suicides,low_hdi,high_gdp,Silent
Finland,2009,female,25-34,medium_population,medium_suicides,low_hdi,high_gdp,Generation X
Finland,2009,female,15-24,medium_population,medium_suicides,low_hdi,high_gdp,Millenials
Finland,2009,female,75+,medium_population,medium_suicides,low_hdi,high_gdp,Silent
Finland,2009,female,5-14,medium_population,low_suicides,low_hdi,high_gdp,Generation Z
Finland,2009,male,5-14,medium_population,low_suicides,low_hdi,high_gdp,Generation Z
Finland,2010,male,25-34,medium_population,high_suicides,high_hdi,high_gdp,Generation X
Finland,2010,male,75+,medium_population,high_suicides,high_hdi,high_gdp,Silent
Finland,2010,male,35-54,medium_population,high_suicides,high_hdi,high_gdp,Generation X
Finland,2010,male,55-74,medium_population,high_suicides,high_hdi,high_gdp,Silent
Finland,2010,male,15-24,medium_population,high_suicides,high_hdi,high_gdp,Millenials
Finland,2010,female,25-34,medium_population,medium_suicides,high_hdi,high_gdp,Generation X
Finland,2010,female,35-54,medium_population,medium_suicides,high_hdi,high_gdp,Generation X
Finland,2010,female,55-74,medium_population,medium_suicides,high_hdi,high_gdp,Silent
Finland,2010,female,15-24,medium_population,medium_suicides,high_hdi,high_gdp,Millenials
Finland,2010,female,75+,medium_population,medium_suicides,high_hdi,high_gdp,Silent
Finland,2010,male,5-14,medium_population,low_suicides,high_hdi,high_gdp,Generation Z
Finland,2010,female,5-14,medium_population,low_suicides,high_hdi,high_gdp,Generation Z
Finland,2011,male,75+,medium_population,high_suicides,high_hdi,high_gdp,Silent
Finland,2011,male,35-54,medium_population,high_suicides,high_hdi,high_gdp,Generation X
Finland,2011,male,55-74,medium_population,high_suicides,high_hdi,high_gdp,Boomers
Finland,2011,male,25-34,medium_population,high_suicides,high_hdi,high_gdp,Millenials
Finland,2011,male,15-24,medium_population,high_suicides,high_hdi,high_gdp,Millenials
Finland,2011,female,55-74,medium_population,medium_suicides,high_hdi,high_gdp,Boomers
